name,recclass,mass,fall,year,reclat,reclong
Jepara,Pallasite PMG,499500,Found,2008,-6.600000,110.733330
Daule,L5,6580,Fell,2008,-1.870890,-79.957560
Sulagiri,LL6,110000,Fell,2008,12.666670,78.033330
Dhofar 1542,L6,500,Found,2008,18.174170,54.281330
Dhofar 1543,H4,1734,Found,2008,18.222000,54.317830
Dhofar 1566,LL5-6,605,Found,2008,18.242330,54.106500
Dhofar 1565,H5,43000,Found,2008,18.273500,54.213670
Dhofar 1514,R3.6,1749,Found,2008,18.338610,54.389440
Dhofar 1462,L~4,400.8,Found,2008,18.349550,54.250130
Dhofar 1544,L4,2808,Found,2008,18.363670,54.565330
Dhofar 1521,L6,1940,Found,2008,18.401670,54.547170
Dhofar 1516,H5,1134,Found,2008,18.408670,54.595330
Dhofar 1519,Ureilite,388,Found,2008,18.461170,54.366330
Dhofar 1524,H5,4652,Found,2008,18.511330,54.607830
Dhofar 1515,H6,1450,Found,2008,18.525330,54.617170
Dhofar 1467,L~5,1305.1,Found,2008,18.566150,54.157950
Dhofar 1471,H~5,760,Found,2008,18.566680,54.160380
Dhofar 1472,LL6,1064.1,Found,2008,18.574330,54.149370
Dhofar 1545,H4,1013,Found,2008,18.574500,54.590330
Dhofar 1547,H4,380,Found,2008,18.585000,54.280000
Dhofar 1550,H4,624,Found,2008,18.590830,54.543000
Dhofar 1475,L~6,1039.2,Found,2008,18.603100,54.177750
Shişr 165,H4,520.6,Found,2008,18.606600,53.960150
Dhofar 1474,L~6,388.7,Found,2008,18.610570,54.171550
Dhofar 1551,H6,451,Found,2008,18.633330,54.347500
Dhofar 1548,L6,4070,Found,2008,18.647000,54.175500
Dhofar 1495,L4,2300,Found,2008,18.667030,54.434870
Dhofar 1522,H6,625,Found,2008,18.671330,54.681670
Dhofar 1493,L6,14000,Found,2008,18.673780,54.450170
Dhofar 1520,H4,1490,Found,2008,18.684500,54.539670
Dhofar 1494,H4,1400,Found,2008,18.685170,54.442030
Dhofar 1496,LL(L)3,1000,Found,2008,18.687120,54.420000
Dhofar 1497,L3-5,1856,Found,2008,18.731680,54.397020
Dhofar 1518,H4,450,Found,2008,18.732000,54.384500
Dhofar 1552,L-melt breccia,454,Found,2008,18.764500,54.322170
Dhofar 1492,H3,510,Found,2008,18.775830,54.454330
Dhofar 1525,H4,6476,Found,2008,18.776330,54.396330
Dhofar 1517,H5,1064,Found,2008,18.926330,54.412830
Dhofar 1455,LL5,488.9,Found,2008,18.976550,54.403820
Dhofar 1458,L~5,428,Found,2008,18.992250,54.417750
Dhofar 1453,L/LL~5,402.4,Found,2008,18.998650,54.393820
Dhofar 1451,H~5,570,Found,2008,19.213030,54.620770
Dhofar 1577,H5,530,Found,2008,19.287200,54.635970
Jiddat al Harasis 521,L6,1989,Found,2008,19.530480,55.181570
Jiddat al Harasis 512,H4,1242,Found,2008,19.530850,55.179980
Jiddat al Harasis 548,L6,433.6,Found,2008,19.531020,55.182370
Jiddat al Harasis 555,H5,1759.6,Found,2008,19.572050,55.486550
Jiddat al Harasis 553,L6,496.5,Found,2008,19.598700,55.187730
Jiddat al Harasis 508,L6,387.9,Found,2008,19.669770,55.512400
Jiddat al Harasis 563,H6,2141.4,Found,2008,19.671200,56.197670
Jiddat al Harasis 506,H5,2850.3,Found,2008,19.674950,55.647430
Jiddat al Harasis 564,H6,1173,Found,2008,19.686750,56.144130
